Macrococcus	Weeksella
Dorea	Actinobacillus
Rheinheimera	Candidatus
Pantoea	Lawsonia
Eubacterium	Plautia
Lactobacillus	Paludibacter
Subdoligranulum	Aggregatibacter
Anaeromyxobacter	Bacteroides
Listeria	Croceibacter
Clostridium	Kingella
Klebsiella	Symbiobacterium
Verrucomicrobium	Croceibacter
Candidatus	Prevotella
Alicyclobacillus	Pseudoalteromonas
Gemella	Dyadobacter
Capnocytophaga	Corynebacterium
Weeksella	Lactobacillus
Clostridium	Salmonella
Neisseria	Lachnospiraceae
Flavobacterium	Parascardovia
Escherichia	Gordonia
Oscillibacter	Lactobacillus
Treponema	Bacillus
Methanosaeta	Croceibacter
Erwinia	Ruminococcus
Cyclobacterium	Eubacterium
Pantoea	Lactococcus
Cellulophaga	Leuconostoc
Runella	Streptococcus
Gemella	Weeksella
Brevibacillus	Fusobacterium
Eubacterium	Xenorhabdus
Parabacteroides	Actinomyces
Cyclobacterium	Bacillus
Flavobacterium	Brevibacterium
Pseudoflavonifractor	Mannheimia
Acetivibrio	Corynebacterium
marine	Bacteroides
Haemophilus	Akkermansia
Neisseria	Xylanimonas
Streptococcus	Prevotella
Prevotella	Parascardovia
Mobiluncus	Enterobacter
Croceibacter	Cryptobacterium
Pseudoflavonifractor	Sodalis
Sphingobacterium	Citrobacter
Carnobacterium	Croceibacter
Pectobacterium	Lactococcus
Methanobrevibacter	Capnocytophaga
Oxalobacter	Haemophilus
Subdoligranulum	Enterobacter
Propionibacterium	Pantoea
Jonesia	Croceibacter
Macrococcus	Catenulispora
Ruminococcus	Mannheimia
Pseudoalteromonas	Alistipes
Oenococcus	Bacteroides
Acinetobacter	Propionibacterium
Prevotella	Catenulispora
Eubacterium	Klebsiella
Cyclobacterium	Alkaliphilus
Catenulispora	Croceibacter
Parabacteroides	Microbacterium
Cyclobacterium	Propionibacterium
Citrobacter	Flavobacterium
Afipia	Klebsiella
Pasteurella	Slackia
Wolbachia	Croceibacter
Dorea	Erwinia
Croceibacter	Dinoroseobacter
Butyrivibrio	Rheinheimera
Macrococcus	Clostridium
Escherichia	Mucilaginibacter
Scardovia	Capnocytophaga
Arcanobacterium	Alistipes
Pseudoflavonifractor	Zymomonas
Eubacterium	Corynebacterium
Haliscomenobacter	Rothia
